answer,answer_sentence,question,question_entity_label,question_id,question_relation
Homo sapiens,"Solute carrier family 2, facilitated glucose transporter member 3 found in Homo sapiens.","Where is Solute carrier family 2, facilitated glucose transporter member 3 found ?",Solute carrier family 2 member 3,18834,P703
SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3 is encoded by SLC2A3","What encodes Solute carrier family 2, facilitated glucose transporter member 3 ?",Solute carrier family 2 member 3,18835,P702
University of Pittsburgh at Titusville,a subsidiary of University of Pittsburgh University of Pittsburgh at Titusville,Which educational institution serves as a subsidiary of University of Pittsburgh ?,University of Pittsburgh,18844,P355
Michelin,Michelin organization gives Michelin star,Which business organization gives Michelin star ?,Michelin star,18866,P1027
Nintendo,Nintendo software released Super Smash Bros. Brawl,Which software released Super Smash Bros. Brawl ?,Super Smash Bros. Brawl,18951,P123
Earthsea series,Tales from Earthsea  is a fork of Earthsea series.,Which book series is Tales from Earthsea a fork of ?,Tales from Earthsea,18969,P144
crucifixion,Jesus Christ dies by crucifixion.,How did Jesus Christ die ?,Jesus,18974,P509
metabolism,tryptophan synthase subunit alpha SE1054 is involved in metabolism,Which process is tryptophan synthase subunit alpha    SE1054 involved in ?,Tryptophan synthase subunit alpha SE1054,19021,P682
Tryptophan synthase subunit alpha SE1054,Tryptophan synthase subunit alpha SE1054 encode tryptophan synthase subunit alpha SE1054 gene.,What gene does tryptophan synthase subunit alpha    SE1054 encode ?,tryptophan synthase subunit alpha SE1054,19022,P702
Viite,Viite has affliliation with Green League ?,Which social group has affliliation with Green League ?,Green League,19044,P1416
The Gale Storm Show,Hal Roach produces The Gale Storm Show.,Which television genre is produced by Hal Roach ?,Hal Roach,19085,P1431
house mouse,Anoctamin-5 found in house mouse taxon.,Which taxon is Anoctamin-5 found in ?,Anoctamin 5,19087,P703
Southern Barbarian (Nanban-jin) Boat at Shore,Southern Barbarian (Nanban-jin) Boat at Shore demonstrates Society of Jesus.,Which furniture demonstrates Society of Jesus ?,Society of Jesus,19091,P180
Roman Republic,Roman Republic is the time period.,When did Gaius Iunius Bubulcus Brutus take place ?,Gaius Iunius Bubulcus Brutus,19094,P2348
Emmitt Peters,Emmitt Peters was the champion of 1975 Iditarod.,Which person was the champion of 1975 Iditarod ?,1975 Iditarod,19132,P1346
Earl Norris,Earl Norris was the pupil of Martin Buser,Which person was a pupil of Martin Buser ?,Martin Buser,19135,P802
Homo sapiens,Homeobox protein Hox-A5 found  Homo sapiens,Where is Homeobox protein Hox-A5 found ?,Homeobox A5,19164,P703
two component sensor kinase SCO3225,Two component sensor kniase SCO3225 encodes two component sensor  kinase SCO3225,What encodes two component sensor kinase    SCO3225 ?,Two component sensor kinase SCO3225,19170,P702
Escherichia coli IAI39,the acetolactate synthase 3 catalytic subunit ECIAI39_0081 found in Escherichia coli IAI39,Which taxon is acetolactate synthase 3 catalytic subunit    ECIAI39_0081 found in ?,Acetolactate synthase 3 catalytic subunit ECIAI39_0081,19204,P703
Edwin Binney,Edwin Binney is the person who donates Raja Surendra Vikram Shah at the age of 15 with his prime minister.,What is the name of person which donates Raja Surendra Vikram Shah at the age of 15 with his prime minister ?,Raja Surendra Vikram Shah at the age of 15 with his prime minister,19238,P1028
Konrad-Adenauer-Haus,Konrad-Adenauer-Haus is building was approved by Christian Democratic Union.,Which building was approved by Christian Democratic Union ?,Christian Democratic Union,19248,P88
Amsterdam,Amsterdam is the administrative country subdivision.,Which administrative country subdivision contains settlement Amsterdam ?,Amsterdam,19269,P1383
Saint Luke painting the Virgin,Saint Luke painting the Virgin depicts Luke the Evangelist.,Which information depicts Luke the Evangelist ?,Luke the Evangelist,19280,P180
Sokolnicheskaya line,The railroad line that Okhotny Ryad is connected to Sokolnicheskaya line.,What is the railroad line that Okhotny Ryad is connected to ?,Okhotny Ryad,19338,P81
Argoulets,Argoulets is the railway station next to Balma – Gramont.,Which railway station is next to Balma – Gramont ?,Balma – Gramont,19342,P197
"Theobald V, Count of Blois","Theobald V, Count of Blois is married to Alix of France.",Which person is married to Alix of France ?,Alice of France,19375,P26
Pseudomonas aeruginosa PAO1,Molybdopterin biosynthesis protein MoeB PA2103  is found in Pseudomonas aeruginosa PAO1.,Where is molybdopterin biosynthesis protein MoeB    PA2103 found ?,Molybdopterin biosynthesis protein MoeB PA2103,19410,P703
Disney Channel,Disney Channel is where it was published.,Where was The Buzz on Maggie published ?,The Buzz on Maggie,19461,P291
Bundesstraße 466,Gnotzheim is located on Bundesstraße 466.,Which street is Gnotzheim located on ?,Gnotzheim,19468,P669
Marcel Colla,Marcel Colla has a membership of member of the European Parliament.,Which person has a membership of member of the European Parliament ?,member of the European Parliament,19480,P463
Fußball-Bundesliga,Fußball-Bundesliga does Borussia Dortmund play in,What does Borussia Dortmund play in ?,Borussia Dortmund,19485,P118
Earth,Earth class is known to be the location of Antarctica,Which class is known to be the location of Antarctica ?,Antarctica,19523,P376
The heart of the Antarctic,The heart of the Antarctic is a collectable that express Antarctica.,Which collectable expressess Antarctica ?,Antarctica,19524,P180
Theological Studies,Theological Studies is what Society of Jesus edited.,Which magazine genre did Society of Jesus edit ?,Society of Jesus,19538,P98
Black Forest,Black Forest was the location of filming for The Black Forest Girl.,What was the location of filming The Black Forest Girl ?,The Black Forest Girl,19552,P915
Arc,Arc is used to create Hacker News.,Which computer language is used to create Hacker News ?,Hacker News,19559,P277
Darren Aronofsky,Darren Aronofsky is the partner of Rachel Weisz.,Which person is the partner of Rachel Weisz ?,Rachel Weisz,19574,P451
Spirou,Joe Shuster is employed by Spirou.,Which magazine employs Joe Shuster ?,Joe Shuster,19591,P108
Fortino Gómez Salazar,Fortino Gómez Salazar was a student at teacher.,Who was a student at teacher ?,teacher,19622,P69
Romania,Romania administrative territory has Traian Băsescu as its head of state,Which administrative territory has Traian Băsescu as its head of state ?,Traian Băsescu,19625,P35
5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase HMPREF0421_20744,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase HMPREF0421_20744 encodes 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase HMPREF0421_20744.,What encodes 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase    HMPREF0421_20744 ?,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase HMPREF0421_20744,19642,P702
Match Day II,Match day II application demonstrates  association football,Which application demonstrates association football ?,football,19653,P180
equestrianism,Equestrianism is considered as the main functionality of horse.,What is considered as the main functionality of horse ?,horse,19660,P366
Carus medal,The award that is conferred by German Academy of Sciences Leopoldina is the Carus medal.,Which award is conferred by German Academy of Sciences Leopoldina ?,German Academy of Sciences Leopoldina,19670,P1027
Ruby Laffoon,Ruby Laffoon has a creer with the Democratic Party.,Which person has career as Democratic Party ?,Democratic Party,19672,P106
Joy Mech Fight,Joy Mech Fight application uses Nintendo Entertainment System software engine.,Which application uses Nintendo Entertainment System software engine ?,Nintendo Entertainment System,19678,P408
Horst Köhler,"Horst Köhler got elected during German presidential election, 2009.","Who was the elected person from German presidential election, 2009 ?",2009 German presidential election,19694,P991
Italian alphabet,Italian alphabet system is used for writing for Italian.,Which alphabet is the writing system used for Italian ?,Italian,19729,P282
St. Clair River,St. Clair River discharges out from Lake Huron.,Which watercourse discharges out from Lake Huron ?,Lake Huron,19771,P201
Lake Saint Clair,Lake Saint Clair drains into that river.,Which still waters does St. Clair River drain into ?,St. Clair River,19773,P403
Bacteroides thetaiotaomicron VPI-5482,Thermostable beta-glucosidase B BT_3314 is found in Bacteroides thetaiotaomicron VPI-5482.,Where is thermostable beta-glucosidase B    BT_3314 found ?,Thermostable beta-glucosidase B BT_3314,19783,P703
Neisseria meningitidis MC58,Neisseria meningitidis MC58  taxon IS TRNA (guanine-N(1)-)-methyltransferase NMB0590 belong to,Which taxon does tRNA (guanine-N(1)-)-methyltransferase    NMB0590 belong to ?,TRNA (guanine-N(1)-)-methyltransferase NMB0590,19800,P703
tRNA (guanine-N(1)-)-methyltransferase NMB0590,The encoding gene is tRNA (guanine-N(1)-)-methyltransferase NMB0590.,Which gene encodes tRNA (guanine-N(1)-)-methyltransferase    NMB0590 ?,TRNA (guanine-N(1)-)-methyltransferase NMB0590,19802,P702
Douglas Adams,Douglas Adams created that design.,Who created the design for Starship Titanic ?,Starship Titanic,19866,P287
"Christian August of Holstein-Gottorp, Prince of Eutin","Christian August of Holstein-Gottorp, Prince of Eutin is the brother of Frederick IV, Duke of Holstein-Gottorp.","Who has Frederick IV, Duke of Holstein-Gottorp as their brother ?",Frederick IV,19898,P7
excinuclease ABC subunit A Caur_1688,excinuclease ABC subunit A Caur_1688 was encoded by excinuclease ABC subunit A Caur_1688.,What encodes excinuclease ABC subunit A    Caur_1688 ?,Excinuclease ABC subunit A Caur_1688,19909,P702
Delphine Software International,Cruise for a Corpse was released by Delphine Software International.,Who released Cruise for a Corpse ?,Cruise for a Corpse,19930,P123
Francis Scott Key,Francis Scott Key wrote the lyrics of The Star-Spangled Banner.,Which person wrote the lyrics of The Star-Spangled Banner ?,The Star-Spangled Banner,19985,P676
Shūjin e no Pert-em-Hru,Shūjin e no Pert-em-Hru had designs created by composer.,Which application had designs created by composer ?,composer,20009,P287
semagacestat,Semagacestat is what Presenilin-1 communicates with.,Which chemical substance does Presenilin-1 communicate with ?,Presenilin 1,20012,P129
"outer membrane protein assembly complex, YaeT protein KPHS_09240","outer membrane protein assembly complex, YaeT protein KPHS_09240 encodes outer membrane protein assembly complex, YaeT protein KPHS_0924.","Which gene encodes outer membrane protein assembly complex, YaeT protein    KPHS_09240 ?","Outer membrane protein assembly complex, YaeT protein KPHS_09240",20014,P702
Treponema denticola ATCC 35405,The adenine-specific DNA modification methyltransferase TDE0227 is located in the Treponema denticola ATCC 35405.,Where is adenine-specific DNA modification methyltransferase    TDE0227 found ?,adenine-specific DNA modification methyltransferase TDE0227,20037,P703
House of Zhu,Zhu Shuang is a part of House of Zhu,What is the royal family that Zhu Shuang is a part of ?,Zhu Shuang,20071,P53
Richard Knox Olney,Richard Knox Olney was developed by Munich.,What was developed by Munich ?,Munich,20085,P170
Rhine,Ill flows into Rhine,Where does Ill flow into ?,Ill,20137,P403
Bordetella bronchiseptica 253,Inositol-1-monophosphatase BN112_1786 is found in Bordetella bronchiseptica 253.,Where is inositol-1-monophosphatase    BN112_1786 found ?,Inositol-1-monophosphatase BN112_1786,20147,P703
inositol-1-monophosphatase BN112_1786,The gene is inositol-1-monophosphatase BN112_1786.,Which gene encodes inositol-1-monophosphatase    BN112_1786 ?,Inositol-1-monophosphatase BN112_1786,20148,P702
freeware,Shūjin e no Pert-em-Hru  is released under freeware,Which software is Shūjin e no Pert-em-Hru released under ?,Shūjin e no Pert-em-Hru,20164,P275
Gisela Drohla,Gisela Drohla translated Wir,Who was the person who translated Wir (first German edition)?,Wir (first German edition),20176,P655
ABS-CBN,ABS-CBN produced Here Comes the Bride,Which business enterprise produced Here Comes the Bride ?,Here Comes the Bride,20238,P162
Type 53,Type 53 is the weapon used by Echo 11 class submarine,What is the weapon used by Echo II class submarine ?,Echo II class submarine,20252,P520
fused N-acetyl glucosamine specific PTS enzyme: IIC and IIB components VF_A0438,fused N-acetyl glucosamine specific PTS enzyme: IIC and IIB components VF_A0438,Which gene encodes fused N-acetyl glucosamine specific PTS enzyme: IIC and IIB components    VF_A0438 ?,Fused N-acetyl glucosamine specific PTS enzyme: IIC and IIB components VF_A0438,20257,P702
Dance Dance Revolution SuperNova,Dance Dance Revolution SuperNova application was distributed by Japan.,Which application is Japan a distributor of ?,Japan,20388,P750
Homo sapiens,The D(2) dopamine receptor is found in Homo Sapiens.,Which taxon is D(2) dopamine receptor found in ?,Dopamine receptor D2,20400,P703
Toulouse Metro Line A,Toulouse Metro Line A has a connection to Marengo – SNCF.,Which railroad line does Marengo – SNCF have a connection to ?,Marengo – SNCF,20439,P81
Jolimont,Jolimont is a railway station in the neighbouhood of Marengo – SNCF.,Which railway station is in the neighbouhood of Marengo – SNCF ?,Marengo – SNCF,20440,P197
Brigham Young University Hawaii,Chang Tsung-hsien was educated at Brigham Young University Hawaii.,Which nonprofit organization was Chang Tsung-hsien educated at ?,Jet Chang,20488,P69
Willy-Brandt-Medaille,The Social Democratic Party of Germany bestows the Willy-Brandt-Medaille awards.,Which award is bestowed by Social Democratic Party of Germany ?,Social Democratic Party of Germany,20498,P1027
Thermus thermophilus HB8,(3R)-hydroxymristoyl-ACP dehydratase TTHA1815 is found in Thermus thermophilus HB8.,Where is (3R)-hydroxymyristoyl-ACP dehydratase    TTHA1815 found ?,(3R)-hydroxymyristoyl-ACP dehydratase TTHA1815,20521,P703
Earth,Spain is situated on Earth.,Which class is Spain situated on ?,Spain,20528,P376
"Johann Tserclaes, Count of Tilly",Johann Tserclaes competited in Sack of Magdeburg.,Which person competited in Sack of Magdeburg ?,Sack of Magdeburg,20582,P1344
A/G-specific adenine glycosylase SMU_1865,The A/G-specific adenine glycosylase SMU_1865.,What encodes A/G-specific adenine glycosylase    SMU_1865 ?,A/G-specific adenine glycosylase SMU_1865,20608,P702
Windows Live Messenger,Xbox 360 is the operating system for Windows Live Messenger.,Which software has Xbox 360 as the operating system ?,Xbox 360,20633,P306
Bergur Løkke Rasmussen,Bergur Løkke Rasmussen person has Sólrun Løkke Rasmussen as mother,Which person has Sólrun Løkke Rasmussen as mother ?,Sólrun Løkke Rasmussen,20637,P25
Nexus 10,Samsung electronics created nexus 10,What was created by Samsung Electronics ?,Samsung Electronics,20642,P178
The Wire,Stringer Bell appears in The Wire.,Where does Stringer Bell appear ?,Stringer Bell,20646,P1441
Cosmo,Cosmo release presented Doug Clifford.,Which release presented Doug Clifford ?,Doug Clifford,20653,P175
Hpakant-Tawmaw jade tract,We can find fabrièsite in abundance at Hpakant-Tawmaw jade tract.,Where can we find fabrièsite in abundance ?,fabrièsite,20664,P2695
Chlamydia trachomatis D/UW-3/CX,glycerol-3-phosphate dehydrogenase CT_714 found in  Chlamydia trachomatis D/UW-3/CX.,Which taxon is glycerol-3-phosphate dehydrogenase    CT_714 found in ?,Glycerol-3-phosphate dehydrogenase CT_714,20675,P703
Mycobacterium tuberculosis H37Rv,2-isopropylmalate synthase Rv3710 belongs to Mycobacterium tuberculosis H37Rv.,Which taxon does 2-isopropylmalate synthase    Rv3710 belong to ?,2-isopropylmalate synthase    Rv3710,20700,P703
Anna Rognstad,Anna Rognstad is the mistress of Jann Post.,Who is the mistress of Jann Post ?,Jann Post,20713,P451
The Return of the King,A television program J. R. R. Tolkien do the screenwriting for the Return of the King,Which television program did J. R. R. Tolkien do the screenwriting for ?,J. R. R. Tolkien,20728,P58
Terrarium – Live in Bydgoszcz,Terrarium – Live in Bydgoszcz release has Poland as its original language of creation.,Which release has Poland as its original language of creation ?,Poland,20755,P364
pentoxifylline,pentoxifylline is used as an antidote for stroke,Which drug is used as an antidote for stroke ?,stroke,20773,P2176
Mechanistic target of rapamycin kinase,Mechanistic target of rapamycin kinase is the nutrient.,Which nutrient does Everolimus communicate with ?,everolimus,20774,P129
salammoniac,Salammoniac is a chemical compound which is found in Italy.,Which chemical compound is found in Italy ?,Italy,20782,P2695
Postal III,Postal III application produced Russia,Which application produced Russia ?,Russia,20800,P123
Dance Dance Revolution SuperNova,Japan distributes the app Dance Dance Revolution SuperNova.,Which application is Japan a distributor of ?,Japan,20827,P750
L-lactate dehydrogenase BC4996,L-lactate dehydrogenase BC4996 is the encoding gene.,Which gene encodes L-lactate dehydrogenase    BC4996 ?,L-lactate dehydrogenase BC4996,20865,P702
Escherichia coli IAI39,The taxon in which dihydrolipoamide acetyltransferase ECIA39_0115 is found in Escherichia coli IAI39.,Which taxon is dihydrolipoamide acetyltransferase    ECIAI39_0115 found in ?,dihydrolipoamide acetyltransferase ECIAI39_0115,20890,P703
hemolysin BT_4370,Hemolysin BT_4370 encodes hemolysin BT_4370.,What encodes hemolysin    BT_4370 ?,Hemolysin BT_4370,20948,P702
"Academy Award for Best Writing, Original Screenplay","Academy Award for Best Writing, Original Screenplay is the name of the award.",Which film award did Luchino Visconti receive?,Luchino Visconti,20970,P1411
Körperschaft des öffentlichen Rechts,Körperschaft des öffentlichen Rechts is the name of the business organization.,Which business organization represents the legal form of Free University of Berlin ?,Freie Universität Berlin,21000,P1454
First Things,The periodical First Things is associated with Christianity.,Which periodical literature is associated with Christianity ?,Christianity,21031,P135
Soviet Union,Soviet Union state does Lew Solomonowitsch Ginsburg belong to,Which state does Lew Solomonowitsch Ginsburg belong to ?,Lev Ginzburg,21100,P27
sport,Sport is demonstrated in sports film.,What is demonstrated in sports film ?,sports film,21111,P180
Sun,the parent astronomical body of Jupiter Sun,What is the parent astronomical body of Jupiter ?,Jupiter,21232,P397
house mouse,Meiosis-specific with OB domain-containing protein found is house mouse,Where is Meiosis-specific with OB domain-containing protein found ?,Meiosis specific with OB domains,21267,P703
Havel,Havel gushes into that lake.,What gushes into Lake Tegel ?,Lake Tegel,21272,P200
Havel,Havel outflows from Lake Tegel.,Which watercourse outflows from Lake Tegel ?,Lake Tegel,21274,P201
Joseph Cafasso,Argentina has Joseph Cafasso as their principal feast day.,Who has Argentina as their principal feast day ?,Argentina,21280,P841
Finnish State Prize for Literature,Finnish State Prize for Literature is given by Finland.,Which award is given by Finland ?,Finland,21283,P1027
Garth Williams,garth williams did the illustration of the cricket team in times square.,Which person did the illustration of The Cricket in Times Square ?,The Cricket in Times Square,21303,P110
prephenate dehydrogenase SMU_781,prephenate dehydrogenase SMU_781 encodes prephenate dehydrogenase SMU_781,Which gene encodes prephenate dehydrogenase    SMU_781 ?,Prephenate dehydrogenase SMU_781,21316,P702
Leslie Knope,Hillary Clinton influenced Leslie Knope.,Who did Hillary Clinton influence ?,Hillary Clinton,21319,P737
Flavobacterium psychrophilum JIP02/86,Tripeptide aminopeptidase FP1919 is found in Flavobacterium psychrophilum JIP02/86.,Where is Tripeptide aminopeptidase    FP1919 found ?,Tripeptide aminopeptidase FP1919,21334,P703
Martinique women's national football team,Martinique women's national football team plays for Martinique,Who plays for Martinique ?,Martinique,21353,P1532
acetyltransferase VCA0316,acetyltransferase VCA0316 encodes for itself,What encodes acetyltransferase    VCA0316 ?,Acetyltransferase VCA0417,21354,P702
Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio cholerae O1 biovar El Tor str. N16961 is the name of the taxon.,Which taxon is acetyltransferase    VCA0316 found in ?,acetyltransferase VCA0316,21355,P703
State of Palestine,Jerusalem is situated in the regime of the State of Palestine.,Which regime is Jerusalem situated in ?,Jerusalem,21399,P17
D N Dhanagare,D N Dhanagare was educated at India,Who was educated at India ?,India,21448,P69
The Legend of the North Wind,The Legend of the North Wind has been dubbed by english,Which film has been dubbed by English ?,English,21450,P725
collage,Collage is made by collage.,What is made by collage ?,collage art,21498,P1056
two-component system sensor histidine kinase/response regulator LB_290,Two-component system sensor histidine kinase/response regulator LB_290 is encoded by two-component system sensor histidine kinase/response regulator LB_290.,Which gene encodes two-component system sensor histidine kinase/response regulator    LB_290 ?,Two-component system sensor histidine kinase/response regulator LB_290,21502,P702
Taf6p YGL112C,Taf6p YGL112C encodes Taf6p YGL112C.,What does Taf6p YGL112C encode ?,TAF6,21567,P688
house mouse,It is found in a house mouse.,Which taxon is Tumor suppressor p53-binding protein 1 found in ?,Transformation related protein 53 binding protein 1,21583,P703
Jérémy Taburchi,"Jérémy Taburchi  authored Catsomy, le chat qui dérape","Who authored Catsomy, le chat qui dérape?","Catsomy, le chat qui dérape",21601,P50
Grade II listed building,"The building 4, Northcroft Lane has a Grade II listed building heritage status.","Which building heritage status does 4, Northcroft Lane have ?",Childs Almshouses,21607,P1435
metabolism,uracil-DNA glycosylase MSMEG_2399 involved in metabolism,Which process is uracil-DNA glycosylase    MSMEG_2399 involved in ?,Uracil-DNA glycosylase MSMEG_2399,21644,P682
Homo sapiens,GDP-fucose protein O-fucosyltransferase 2 found in Homo sapiens.,Where is GDP-fucose protein O-fucosyltransferase 2 found ?,Protein O-fucosyltransferase 2,21648,P703
male,Sergey Sivokho is male,Which sex does Sergey Sivokho have ?,Serhiy Syvokho,21712,P21
Ramon Llull,Ramon Llull plays a role in Desconhort,Which person plays a role in Desconhort ?,Desconhort,21739,P674
catalase LA_1859,Catalase LA_1859 encodes catalase LA_1859.,What encodes catalase    LA_1859 ?,Catalase LA_1859,21754,P702
house mouse,House mouse is where SAFB-like transcription modulator is found.,Where is SAFB-like transcription modulator found ?,"SAFB-like, transcription modulator",21785,P703
Hey! Baby,Hey! Baby performed by Bruce Channel.,Which release performed Bruce Channel ?,Bruce Channel,21792,P175
house mouse,Integrin alpha-1 is found in house mouse.,Where is Integrin alpha-1 found ?,Integrin alpha 1,21797,P703
Itga1,Itga1 encodes Integrin alpha-1.,What encodes Integrin alpha-1 ?,Integrin alpha 1,21798,P702
Germany,Germany has diplomatic relationships with Hungary.,Which political territory has diplomatic relationships with Hungary ?,Hungary,21807,P530
Der Emes,The Central Committee of the Communist Party of the Soviet Union produced Der Emes.,Which publication produced Central Committee of the Communist Party of the Soviet Union ?,Central Committee of the Communist Party of the Soviet Union,21864,P123
Glen Schofield,Glen Schofield  is the designer of Call of Duty: Modern Warfare 3,Who is the designer of Call of Duty: Modern Warfare 3 ?,Call of Duty: Modern Warfare 3,21869,P287
Mycenaean Greece,Mycenaean Greece is the concept that Heinrich Schliemann invented.,What is the concept that Heinrich Schliemann invented ?,Heinrich Schliemann,21909,P61
alanine--tRNA ligase NGO1254,Alanine--tRNA ligase NGO1254 encodes alanine--tRNA ligase NGO1254.,Which gene encodes alanine--tRNA ligase    NGO1254 ?,Alanine--tRNA ligase NGO1254,21959,P702
metal dependent hydrolase lpg1440,Metal dependent hydrolase lpg1440 encodes metal dependent hydrolase lpg1440,What encodes metal dependent hydrolase    lpg1440 ?,Metal dependent hydrolase lpg1440,21971,P702
National People's Congress,The National People's Congress legislature appointed President of the People's Republic of China.,Which legislature appointed President of the People's Republic of China ?,President of the People's Republic of China,21982,P748
saint,Thomas Aquinas is a saint.,Which name is held by Thomas Aquinas ?,Thomas Aquinas,22043,P411
American Lion,American Lion has President of the United States of America as its class.,Which collectable as President of the United States of America as its class ?,President of the United States,22048,P136
flag of the President of the United States,The flag of the President of the United States is the name of coat of arms associated with the President of the United States of America.,What is the name of coat of arms associated with President of the United States of America ?,President of the United States,22050,P163
metabolism,uridylate kinase SAOUHSC_01235 involved in metabolism,Which process is uridylate kinase    SAOUHSC_01235 involved in ?,Uridylate kinase SAOUHSC_01235,22138,P682
Pseudomonas aeruginosa PAO1,The taxon's is Pseudomonas aeruginosa PAO1.,Which taxon is arginine N-succinyltransferase subunit alpha    PA0896 found in ?,Arginine N-succinyltransferase subunit alpha PA0896,22167,P703
Johan Clijsters,Johan Clijsters person suffers from rheumatoid arthritis,Which person suffers from rheumatoid arthritis ?,rheumatoid arthritis,22173,P1050
Xanthomonas campestris pv. campestris str. ATCC 33913,Xanthomonas campestris pv. campestris str. ATCC 33913 is where it is found.,Where is RNA polymerase sigma factor RpoE    XCC1267 found ?,RNA polymerase sigma factor RpoE XCC1267,22206,P703
Escherichia coli IAI39,UDP-N-acetylmuramate--L-alanine ligase ECIAI39_0094 is found in Escherichia coli IAI39.,Where is UDP-N-acetylmuramate--L-alanine ligase    ECIAI39_0094 found ?,UDP-N-acetylmuramate--L-alanine ligase ECIAI39_0094,22218,P703
Suematsu Kenchō,Suematsu Kenchō   the person who translated The Tale of Genji,Who was the person who translated The Tale of Genji ?,The Tale of Genji,22237,P655
Sadiq Khan,"the successful candidate in London mayoral election, 2016 Sadiq Khan","Which person was the successful candidate in London mayoral election, 2016 ?",2016 London mayoral election,22238,P991
2016 Tooting by-election,"London mayoral election, 2016 leads to 2016 Tooting by-election.","What does London mayoral election, 2016 lead to ?",2016 London mayoral election,22239,P828
Üsküdar University,"Üsküdar University, a nonprofit organization, has university as its legal form.",Which nonprofit organization has university as its legal form ?,university,22374,P1454
Cxcl16,Cxcl16 is the gene.,Which gene encodes C-X-C motif chemokine 16 ?,Chemokine (C-X-C motif) ligand 16,22375,P702
African Central Bank,The African Central Bank is there.,Which bank is present in African Union ?,African Union,22465,P17
Lydia R. Bailey,"Lydia R. Bailey released A Memoir of the Life and Character of the Late Joseph Parrish, M.D.","Which person released A Memoir of the Life and Character of the Late Joseph Parrish, M.D. ?","A Memoir of the Life and Character of the Late Joseph Parrish, M.D.",22476,P123
Arquitectonica,Arquitectonica  is part of the architect industry,Who is part of the architect industry ?,architect,22504,P452
Bifidobacterium longum NCC2705,Bifidobacterium longum NCC2705 is found there.,Where is argF    BL1060 found ?,ArgF BL1060,22511,P703
"1903 Tour de France, stage 3","1903 Tour de France, stage 3 starts at Marseille",Which racing starts at Marseille ?,Marseille,22588,P1427
Microsoft,Microsoft produced Active Director.,Who produced Active Director ?,Active Directory,22687,P178
house mouse,Vacuolar ATPase assembly integral membrane protein Vma21 is found in house mouse,Where is Vacuolar ATPase assembly integral membrane protein Vma21 found ?,VMA21 vacuolar H+-ATPase homolog (S. cerevisiae),22695,P703
ATP-dependent Clp protease proteolytic subunit SSA_1731,ATP-dependent Clp protease proteolytic subunit SSA_1731 is the encoding gene.,Which gene encodes ATP-dependent Clp protease proteolytic subunit    SSA_1731 ?,ATP-dependent Clp protease proteolytic subunit SSA_1731,22703,P702
Streptococcus sanguinis SK36,The taxon ATP-dependent Clp protease proteolytic subunit SSA_1731 is found in is Streptococcus sanguinis SK36.,Which taxon is ATP-dependent Clp protease proteolytic subunit    SSA_1731 found in ?,ATP-dependent Clp protease proteolytic subunit SSA_1731,22704,P703
Saccharomyces cerevisiae S288c,ribosomal 60S subunit protein L30 YGL030W is found in Saccharomyces cerevisiae S288c,Where is ribosomal 60S subunit protein L30 YGL030W found ?,RPL30,22766,P703
Thermodesulfovibrio yellowstonii DSM 11347,Isoleucyl-tRNA synthetase THEYE_A0654 was found in the Thermodesulfovibrio yellowstonii DSM 11347.,Where is isoleucyl-tRNA synthetase    THEYE_A0654 found ?,Isoleucyl-tRNA synthetase THEYE_A0654,22777,P703
Northern Thai,Northern Thai  language family is related to Tai Tham alphabet.,Which language family is related to Tai Tham alphabet ?,Tai Tham alphabet,22807,P2439
Egyptian–Hittite peace treaty,Egyptian–Hittite peace treaty was done in Akkadian language.,Which treaty was done in Akkadian language ?,Akkadian,22808,P407
coat of arms of Ulestraten,coat of arms of Ulestraten coat of arms expresses Catherine of Alexandria,Which coat of arms expresses Catherine of Alexandria ?,Catherine of Alexandria,22811,P180
Chanteur florentin du XVe siècle,Chanteur florentin du XVe siècle is the media's name.,Which media expresses singer ?,singer,22817,P180
Neisseria meningitidis MC58,shikimate dehydrogenase NMB0358 found  is Neisseria meningitidis MC58,Where is shikimate dehydrogenase    NMB0358 found ?,Shikimate dehydrogenase NMB0358,22825,P703
Denmark,Denmark is played by Denmark national football team.,Which political territory is played by Denmark national football team ?,Denmark national football team,22835,P1532
The Fifty-Three Stations of the Tōkaidō: Station #49: Sakanoshita,The Fifty-Three Stations of the Tōkaidō: Station #49: Sakanoshita depicts Japan.,Which print depicts Japan ?,Japan,22917,P180
Illinois,Springfield is the capital of Illinois.,What has Springfield as its capital ?,"Springfield, Illinois",22922,P1376
Rand al'Thor,Rand al'Thor is the person who  plays a role in A Crown of Swords,What is the name of the person who plays a role in A Crown of Swords ?,A Crown of Swords,22940,P674
Microcosm,Microcosm was a collection established by the European Organization for Nuclear Research.,Which collection was established by European Organization for Nuclear Research ?,CERN,22968,P112
organ,organ is the instrumentation used in Ecce Cor Meum,What is the instrumentation used in Ecce Cor Meum ?,Ecce Cor Meum,22994,P870
Metallica,Metallica was presented by Enter Sandman.,What was presented by Enter Sandman ?,Enter Sandman,23088,P175
