,Index,UID1,Ques1,Ans1,UID2,Ques2,Ans2
443,443,44080,Where is DNA-directed RNA polymerase II subunit RPB4 found ?,Homo sapiens,881,Which organization was the production company of Fantastic Four: Rise of the Silver Surfer ?,Ingenious Media
444,444,44398,Which taxon is Muscarinic acetylcholine receptor M3 found in ?,Homo sapiens,1348,Which work of art had United States of America as the production house ?,Crustacés et Coquillages
445,445,44761,Which taxon is phosphatidylglycerophosphate synthase    THEYE_A0322 found in ?,Thermodesulfovibrio yellowstonii DSM 11347,3049,Who was the producer of Alex & Emma ?,Franchise Pictures
446,446,44901,Where is 2-deoxyribose-5-phosphate aldolase    tlr1079 found ?,Thermosynechococcus elongatus BP-1,3671,Who produced Your Highness ?,Scott Stuber
447,447,44985,Which taxon does sulfate/thiosulfate permease    ECUMN_2744 belong to ?,Escherichia coli UMN026,6415,"Which film genre was produced by University of California, Los Angeles ?",9
448,448,45309,Where is Pseudouridylate synthase 7 homolog-like protein found ?,Homo sapiens,26690,Which organization produces The Green Terror ?,Gaumont-British Picture Corporation
449,449,45325,Which taxon is Aspartate--tRNA ligase    FP0275 found in ?,Flavobacterium psychrophilum JIP02/86,47197,Which person produces Poison ?,Christine Vachon
450,450,45697,Which taxon is binding-protein dependent transport system inner membrane protein    Moth_1482 found in ?,Moorella thermoacetica ATCC 39073,634,What is accepted as the currency of Russia ?,Soviet ruble
451,451,45742,Where is Tyrosine-protein kinase SgK223 found ?,Homo sapiens,1520,What is the architectural structure occupied by association football ?,Dębińska Road Stadium
452,452,45744,Which taxon is Histone-lysine N-methyltransferase SUV39H1 found in ?,Homo sapiens,1657,Which building is occupied by George VI ?,Windsor Castle
453,453,45830,Where is Cadherin-12 found ?,Homo sapiens,4349,What is the stadium occupied by Congo DR national football team ?,Stade des Martyrs
454,454,45892,Which taxon is adenylosuccinate lyase    TTHA1513 found in ?,Thermus thermophilus HB8,7232,What was inhabited by Pittsburgh Penguins ?,PPG Paints Arena
455,455,45949,Which taxon is DNA-3-methyladenine glycosylase found in ?,Homo sapiens,28411,Who is an occupant of Witte Dame ?,Fontys University of Applied Sciences
456,456,46523,Which taxon does ATP-dependent helicase    LBA0470 belong to ?,Lactobacillus acidophilus NCFM,33530,"What is occupied by United Nations Educational, Scientific and Cultural Organization ?",World Heritage Centre
457,457,47101,Which taxon does amidophosphoribosyltransferase    BDGL_001744 belong to ?,Acinetobacter pittii PHEA-2,35401,Who was the tenant of Rizal Memorial Baseball Stadium ?,Philippines national baseball team
458,458,47124,Where is PTS enzyme I    SSA_0773 found ?,Streptococcus sanguinis SK36,40370,Which stadium is inhabited by Racing Club Asociación Civil ?,independiente es mi papa
459,459,47234,Where is ATP-dependent RNA helicase DHX36 found ?,house mouse,47240,Which architectural structure is inhabited by Golden State Cavaliers ?,Chase Center
460,460,47271,"Where is 1,4-dihydroxy-2-naphthoate polyprenyltransferase    YE0103 found ?",Yersinia enterocolitica subsp. enterocolitica 8081,11,Which profession produced Zumba Kids ?,Zoë Mode
461,461,47432,Which taxon does 2-ketoacid reductase    ECUMN_1207 belong to ?,Escherichia coli UMN026,1936,Who developed FIFA 07 ?,EA Vancouver
462,462,47837,Which taxon does outer membrane nitrite reductase    BMAA0755 belong to ?,Burkholderia mallei ATCC 23344,2141,Who produced Microsoft Windows ?,Microsoft
463,463,47942,Which taxon is sporulation factor SpoIIGA    Moth_0851 found in ?,Moorella thermoacetica ATCC 39073,4314,Which application was developed by actor ?,Day of Love
464,464,47952,Where is Glutamyl/glutaminyl-tRNA synthetase    Pro_1400 found ?,Prochlorococcus marinus subsp. marinus str. CCMP1375,6517,Who is credited with development of Mario & Sonic at the Rio 2016 Olympic Games ?,Sega Sports R&D
465,465,48259,Which taxon is Na+-driven multidrug efflux pump    SSA_1143 found in ?,Streptococcus sanguinis SK36,7716,Which profession developed Pokémon Yellow ?,Game Freak
466,466,48326,Where is preprotein translocase subunit SecA    NGO0996 found ?,Neisseria gonorrhoeae FA 1090,9213,Which business organization produced Xbox 360 ?,Microsoft
467,467,48899,Where is 3-deoxy-manno-octulosonate cytidylyltransferase    VF_A0427 found ?,Vibrio fischeri ES114,10489,Which organization developed iOS 8 ?,Apple
468,468,48948,Which taxon is Ribonuclease 3 found in ?,house mouse,12902,What was produced by actor ?,Day of Love
469,469,49254,Where is Protein fosB found ?,Homo sapiens,18213,What was manufactured by actor ?,Day of Love
470,470,49412,Where is Cyclin-dependent kinase 18 found ?,Homo sapiens,20642,What was created by Samsung Electronics ?,Nexus 10
471,471,49444,Which taxon is glycanase/glycogenase    BL0388 found in ?,Bifidobacterium longum NCC2705,22687,Who produced Active Director ?,Microsoft
472,472,49536,Where is molybdenum transport system permease protein YvgM    BSU33390 found ?,Bacillus subtilis subsp. subtilis str. 168,30304,Which person produced Freddy Pharkas: Frontier Pharmacist ?,Al Lowe
473,473,49629,Which taxon does excinuclease ABC subunit B    spr1118 belong to ?,Streptococcus pneumoniae R6,32872,Which software developed Golf ?,Nintendo
474,474,49799,Which taxon is phosphomethylpyrimidine synthase    Cj0453 found in ?,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,35027,Which software produced Dance Dance Revolution SuperNova ?,Konami
475,475,49884,"Where is Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase found ?",Homo sapiens,36140,Which trade produced Diner Dash: Flo on the Go ?,Amazon
476,476,50017,Where is ubiquinone biosynthesis protein UbiB    PSPTO_5152 found ?,Pseudomonas syringae pv. tomato str. DC3000,44812,Which business enterprise developed The Messenger ?,Canal+
477,477,50178,Which taxon does quaternary ammonium compound-resistance protein    BC4214 belong to ?,Bacillus cereus ATCC 14579,101,Which person was the teacher of Jean-Baptiste-Jules Klagmann ?,Étienne-Jules Ramey
478,478,50771,Which taxon does formyl-coenzyme A transferase    MSMEG_0168 belong to ?,Mycobacterium smegmatis str. MC2 155,1010,Who taught Jean-Charles Ablitzer ?,Pierre Vidal
479,479,50873,Where is cytochrome c-type biogenesis protein CcmF    Psyr_3388 found ?,Pseudomonas syringae pv. syringae B728a,1636,Which person was advised by Rosalba Carriera ?,Gustaf Lundberg
480,480,50892,Where is UvrD/REP helicase    Rru_A3434 found ?,Rhodospirillum rubrum ATCC 11170,3316,Which person is a pupil of John the Baptist ?,historical Jesus
481,481,50930,Where is histidine ammonia-lyase    AMED_1265 found ?,Amycolatopsis mediterranei U32,9821,Which family was the supervisor of Thomas Ruff ?,Bernd and Hilla Becher
482,482,50938,Where is GMP synthase    HP0409 found ?,Helicobacter pylori 26695,15711,Who is a student of Albert Einstein ?,Ernst G. Straus
483,483,51005,Where is Ras association domain-containing protein 7 found ?,house mouse,1851,Which musical instrument can Mieczysław Weinberg perform with ?,piano
484,484,51175,Where is sensory box histidine kinase    DVU1418 found ?,Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough,2564,Which musical instrument is played by Franz Pecháček ?,violin
485,485,51235,Which taxon is Septin-2 found in ?,house mouse,3487,Which product does Funkmaster Flex know to play ?,sampler
486,486,51248,Where is UDP-N-acetylenolpyruvoylglucosamine reductase    GSU3067 found ?,Geobacter sulfurreducens PCA,1625,What was built by People's Republic of China ?,Yu-1
487,487,51352,Where is dihydrodipicolinate synthase 3    CD630_32250 found ?,Peptoclostridium difficile 630,2165,Which business enterprise is the producer of T46 ?,Kockums
488,488,51626,Where is guaB    BL1722 found ?,Bifidobacterium longum NCC2705,2471,What was manufactured by United States of America ?,M5
489,489,51862,"Where is UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase    tlr1239 found ?",Thermosynechococcus elongatus BP-1,3565,Who is the manufacturer of PlayStation 2 ?,Sony Interactive Entertainment
490,490,51986,Where is Transforming growth factor-beta-induced protein ig-h3 found ?,Homo sapiens,4133,Which cannon was produced by Germany ?,Becker Type M2
491,491,52257,Which taxon is RNA polymerase ECF-type sigma factor    BT_4647 found in ?,Bacteroides thetaiotaomicron VPI-5482,6518,Who is the maker of Nintendo 3DS ?,Nintendo
492,492,52525,Where is LuxR family transcriptional regulator    VCA0952 found ?,Vibrio cholerae O1 biovar El Tor str. N16961,2791,Which political organization has Mehmed Spaho as its chairperson ?,Yugoslav Muslim Organization
493,493,52579,Which taxon is excinuclease ABC subunit C    THEYE_A1889 found in ?,Thermodesulfovibrio yellowstonii DSM 11347,2997,Who was the chair of Liberal Democratic Party of Germany ?,Manfred Gerlach
494,494,52584,Which taxon does peptidase T    YE1715 belong to ?,Yersinia enterocolitica subsp. enterocolitica 8081,4007,Who served as the chairperson of Massachusetts Institute of Technology ?,L. Rafael Reif
495,495,52590,Which taxon is 3-deoxy-D-manno-octulosonate cytidylyltransferase    PSPTO_3843 found in ?,Pseudomonas syringae pv. tomato str. DC3000,6729,Which political organization does Shinzō Abe serve as a chairman for ?,Liberal Democratic Party
496,496,52617,Where is sensor histidine kinase    PP_4224 found ?,Pseudomonas putida KT2440,7035,Who chaired National Alliance ?,Gianfranco Fini
497,497,52762,Where is Actin-like protein 6A found ?,house mouse,7801,Which international organization is Elizabeth II a chairperson of ?,Commonwealth of Nations
498,498,52894,Which taxon is glyceraldehyde 3-phosphate dehydrogenase A    BU298 found in ?,Buchnera aphidicola str. APS (Acyrthosiphon pisum),9561,Which nonprofit organization does Roseline Ndiaye lead ?,Cercle de recherche et d'action pédagogiques
499,499,53019,Which taxon is methyl-accepting chemotaxis protein    VCA0974 found in ?,Vibrio cholerae O1 biovar El Tor str. N16961,32528,Who chaired Conservative Party ?,Erna Solberg
500,500,53023,Where is NADH-quinone oxidoreductase subunit 11    TTHA0094 found ?,Thermus thermophilus HB8,38759,Which independence movement does Mahatma Gandhi lead ?,Non-cooperation Movement
501,501,53160,Which taxon is elongation factor Tu    aq_005 found in ?,Aquifex aeolicus VF5,44996,Who chaired Alliance of European Conservatives and Reformists ?,Jan Zahradil
502,502,53566,Which taxon does sporulation sigma factor SigG    CA_C1696 belong to ?,Clostridium acetobutylicum ATCC 824,755,Who serves as the distributor of Eli Stone ?,Disney–ABC Domestic Television
503,503,53637,Which taxon does cytochrome P450    BPSS1654 belong to ?,Burkholderia pseudomallei K96243,941,Who is LBJ distributed by ?,Warner Bros.
504,504,53662,Which taxon is sodium/hydrogen antiporter    PA5021 found in ?,Pseudomonas aeruginosa PAO1,1796,Which application has Japan as its distributor ?,Dance Dance Revolution SuperNova
505,505,53750,Where is gluconokinase    AMED_1163 found ?,Amycolatopsis mediterranei U32,7465,Who distributes Pokémon Gold and Silver ?,Nintendo
506,506,53785,Which taxon is ppk    BL1259 found in ?,Bifidobacterium longum NCC2705,20388,Which application is Japan a distributor of ?,Dance Dance Revolution SuperNova
507,507,53861,Which taxon is Calpain-9 found in ?,Homo sapiens,26019,Who does United Kingdom serve as a distributor for ?,My Summer of Love
508,508,53919,Which taxon is tRNA/rRNA methyltransferase    BT_3165 found in ?,Bacteroides thetaiotaomicron VPI-5482,33534,Which organization is the distributor of Shaandar ?,Fox Star Studios
509,509,54224,Where is ornithine decarboxylase    VPA1635 found ?,Vibrio parahaemolyticus RIMD 2210633,2838,Which administrative territory has diplomatic associations with England ?,Bosnia and Herzegovina
510,510,54360,"Where is cobyrinic acid a,c-diamide synthase    CT0929 found ?",Chlorobium tepidum TLS,13992,Which political territory has diplomatic relations with Kingdom of the Netherlands ?,Canada
511,511,54398,Where is Centrin-1 found ?,Homo sapiens,2641,Which construction was designed by Rita McBride ?,Mae West
512,512,55000,Which taxon is Catenin beta-1 found in ?,house mouse,5420,Which construction has its designs created by United Kingdom ?,Chennai Tech Park
513,513,55016,"Where is 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase    CTL0693 found ?",Chlamydia trachomatis 434/BU,7218,Who is the architect of Hamburg Museum ?,Fritz Schumacher
514,514,55088,Where is fliN    bll6879 found ?,Bradyrhizobium japonicum USDA 110,8034,Who designed the architecture of Citi Field ?,Populous
515,515,55224,Which taxon is Urocanate hydratase found in ?,house mouse,8664,Which dwelling was Los Angeles the designer of ?,"The Park, Chennai"
516,516,55288,Which taxon is allophycocyanin subunit beta    tll0956 found in ?,Thermosynechococcus elongatus BP-1,9060,Who architected St. Benedict ?,Heinrich Johann Freyse
517,517,55659,Where is GDP-L-fucose synthase    CBU_0688 found ?,Coxiella burnetii RSA 493,12948,What was France an architect of ?,Amar Mahal Palace
518,518,55662,Where is peptide ABC transporter substrate-binding protein    VCA0591 found ?,Vibrio cholerae O1 biovar El Tor str. N16961,34787,Who is the designer of Père Lachaise Cemetery ?,Alexandre-Théodore Brongniart
519,519,55895,Where is acetolactate synthase large subunit    DR_1516 found ?,Deinococcus radiodurans R1,130,Who was the doctoral advisor of Milutin Milanković ?,Emanuel Czuber
520,520,55981,Where is AraC family transcriptional regulator    Rv3833 found ?,Mycobacterium tuberculosis H37Rv,1297,Which person has W. T. Tutte as doctoral advisor ?,Neil Robertson
521,521,56279,Where is Kinesin-like protein KIF22 found ?,house mouse,1814,Which person was the doctoral supervisor of Vladimir Ulyanov ?,Vyacheslav Sazonov
522,522,56609,Which taxon does D-3-phosphoglycerate dehydrogenase    L0084 belong to ?,Lactococcus lactis subsp. lactis Il1403,13091,Who has Paul Merker as advisor for his/her doctoral work ?,Karl Turley
523,523,56641,Which taxon does ribosome-binding ATPase YchF    MPN026 belong to ?,Mycoplasma pneumoniae M129,462,Which concept was Joan Pau Pujol linked with ?,baroque music
524,524,56800,Where is NAD-dependent protein deacetylase sirtuin-1 found ?,Homo sapiens,1436,Which periodical literature is linked with Christianity ?,First Things
525,525,57112,Which taxon is dnaA    BL0640 found in ?,Bifidobacterium longum NCC2705,2017,Which genre did Pierre Szekely belong to,abstract art
526,526,57221,Which taxon does 2-succinylbenzoate-CoA ligase    BT9727_4585 belong to ?,Bacillus thuringiensis serovar konkukian str. 97-27,4377,Which technics was collage associated with ?,appropriation
527,527,57555,Which taxon is Neuronal acetylcholine receptor subunit alpha-9 found in ?,Homo sapiens,6390,Which person is associated with novel ?,Maurice Genevoix
528,528,57592,Where is 6-phosphofructokinase 2    ECIAI39_1331 found ?,Escherichia coli IAI39,12358,Which abstract noun was Peter Henkel associated with ?,atheism
529,529,57794,Where is Gastricsin found ?,Homo sapiens,3867,Which fictional character is featured in Breaking Bad ?,Breaking Bad character
530,530,57935,Where is Protocadherin-8 found ?,Homo sapiens,5138,Which group of fictional characters is from the works of Angel Beats! ?,Girls Dead Monster
531,531,58255,Which taxon is Tumor necrosis factor receptor superfamily member 1A found in ?,house mouse,6206,Which television program is Donald Van Buren present in ?,Law & Order
532,532,58430,Where is Neurabin-2 found ?,house mouse,10849,Which work features Pikachu ?,Pokémon
533,533,58519,Which taxon is ferrochelatase    aq_948 found in ?,Aquifex aeolicus VF5,15119,Which encyclopedia appears in Pokémon ?,National Pokédex
534,534,58535,Where is tRNA uridine 5-carboxymethylaminomethyl modification protein GidA    SMc02798 found ?,Sinorhizobium meliloti 1021,16265,Where does Pikachu appear ?,Pokémon
535,535,58627,Which taxon is 5' exonuclease Apollo found in ?,Homo sapiens,17475,Where is Kōichirō Iketani shown in ?,Initial D
536,536,58651,Where is flagellar motor protein MotA    XCC3653 found ?,Xanthomonas campestris pv. campestris str. ATCC 33913,23631,Which abstract being is present in K-On! ?,Sawako Yamanaka
537,537,58664,Where is transcription termination/antitermination protein NusG    Cj0473 found ?,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,37211,Which fictional location is seen in Doctor Zhivago ?,Yuryatin
538,538,58790,Which taxon does phosphomethylpyrimidine kinase    SSUBM407_0282 belong to ?,Streptococcus suis BM407,95,"Which person is a relative of William VIII, Landgrave of Hesse-Kassel ?",Margravine Hedwig Sophie of Brandenburg
539,539,58914,Where is V-set domain containing T-cell activation inhibitor 1 found ?,house mouse,777,Who is a kin of William Mulready ?,Cornelius Varley
540,540,59155,Which taxon does sec-independent protein translocase TatB    KPHS_01780 belong to ?,Klebsiella pneumoniae subsp. pneumoniae HS11286,6377,Which person is related to Elizabeth II ?,Princess Charlotte of Cambridge
541,541,59196,Where is histidinol dehydrogenase    NMB1581 found ?,Neisseria meningitidis MC58,8329,Who are kins of Vladimir Putin ?,Roman Putin
542,542,60195,Which taxon is ksgA    BL0657 found in ?,Bifidobacterium longum NCC2705,14846,"Who is related to John George II, Prince of Anhalt-Dessau ?",Countess Louise Henriette of Nassau
543,543,60724,Where is hemolysin    SSA_1761 found ?,Streptococcus sanguinis SK36,100,Which rock is used to construct Saint Clotilde ?,marble
544,544,60791,"Where is Keratin, type I cytoskeletal 20 found ?",house mouse,1275,Which material is used to make Aconcagua ?,sedimentary rock
545,545,60827,"Which taxon is C-1-tetrahydrofolate synthase, cytoplasmic found in ?",Homo sapiens,4376,Which artistic technique is constructed collage ?,Paesaggio Con Totem
546,546,60897,Where is glutamine synthetase    L0118 found ?,Lactococcus lactis subsp. lactis Il1403,8296,Which artistic technique uses collage as material for its making ?,Paesaggio Con Totem
547,547,61335,Where is Serine/threonine-protein phosphatase 2A activator found ?,house mouse,9601,Which flammable solid is constructed cadmium ?,cadmium dust
548,548,61699,Which taxon is 4-hydroxybenzoate octaprenyltransferase    gvip469 found in ?,Gloeobacter violaceus PCC 7421,14453,Which technics is used to craft Chair of Saint Peter ?,gilding
549,549,61862,Which taxon is Sperm protamine P1 found in ?,house mouse,15116,Which natural fiber is used to produce Berry Dress ?,cotton
550,550,62051,"Which taxon does TMAO reductase III (TorYZ), TorZ subunit    VF_A0188 belong to ?",Vibrio fischeri ES114,23118,Which symbol is made from Cupressus ?,Cross of Saint Euphrosyne
551,551,62066,Where is htpX    BL0551 found ?,Bifidobacterium longum NCC2705,27684,Which solution is used to manufacture Il Grande Miracolo ?,bronze
552,552,62207,Which taxon does alpha-galactosidase    NGR_b02750 belong to ?,Sinorhizobium fredii NGR234,30010,Which chemical substance uses californium as its raw material ?,compound of californium
553,553,62315,Where is Histone H2B type 1-B found ?,house mouse,60920,Which symbol is constructed Cupressus ?,Cross of Saint Euphrosyne
554,554,62363,Where is Transcription factor SOX-11 found ?,Homo sapiens,558,Which coat of arms serves as the ensign for Berlin ?,coat of arms of Berlin
555,555,62658,Where is 5-methyltetrahydrofolate--homocysteine methyltransferase    tll1027 found ?,Thermosynechococcus elongatus BP-1,9731,What is the ensign for Zaporizhzhya ?,Coat of arms of Zaporizhzhya
556,556,62710,"Where is malate oxidoreductase, NAD-dependent    GSU2308 found ?",Geobacter sulfurreducens PCA,29271,Whose coat of arms is coat of arms of Ulestraten ?,Ulestraten
557,557,63108,Where is recA protein    Moth_1079 found ?,Moorella thermoacetica ATCC 39073,40720,Which administrative country subdivision has coat of arms of Baarderadeel as coat of arms ?,Baarderadeel
558,558,63247,Where is DnaJ homolog subfamily B member 9 found ?,Homo sapiens,444,Which television channel has procured license for broadcasting to Netherlands ?,24Kitchen
559,559,63426,Where is GTP pyrophosphokinase    AHA_0818 found ?,Aeromonas hydrophila subsp. hydrophila ATCC 7966,1955,Which business enterprise is licensed to broadcast to India ?,Red FM 93.5
560,560,63435,Which taxon is phenylalanyl-tRNA synthetase subuit beta    THEYE_A1416 found in ?,Thermodesulfovibrio yellowstonii DSM 11347,5767,Which business enterprise has license to broadcast to Brussels ?,Studio Brussel
561,561,63535,Where is B-cell lymphoma 3 protein homolog found ?,house mouse,29063,Where is CBS permitted to broadcast as per its license ?,United States of America
562,562,64286,Which taxon does ferrichrome-iron receptor    PP_4755 belong to ?,Pseudomonas putida KT2440,2110,Which application was developed for Sony Interactive Entertainment ?,Saiyuki: Journey West
563,563,64,Which national sports team is Juan Bernat a member of ?,Spain national football team,2752,What is the platform for which Dance Dance Revolution X2 was developed ?,PlayStation 2
564,564,549,Which sports team has Sérgio Silva de Souza Júnior as its member ?,CR Vasco da Gama,847,Which person edited The Consequences of Love ?,Giogiò Franchini
565,565,41414,Which person is a member of USA Hockey National Team Development Program ?,Kieffer Bellows,1211,Which person is the editor of Near and Far Away ?,Marianne Ahrne
566,566,29,Which language is Riccardo Forster capable of writing ?,Italian,4132,Who has editted I Hired a Contract Killer ?,Aki Kaurismäki
567,567,194,Which language does Stanley Crouch speak in ?,English,7996,What is the name of person who editted Bonsoir ?,Jean-Pierre Mocky
568,568,249,Which language can Danny Strong read ?,English,55600,Who has editted For a Moment ?,Karina Ressler
569,569,300,Which language is spoken by Todd Sampson ?,English,57990,Which person edited La Feria de Jalisco ?,Carlos Savage
570,570,7587,Which language family can Omer Bartov understand ?,Hebrew,1319,Which aerodrome serves Paris ?,Orly Airport
571,571,26325,Who talks in Turkey ?,Tsetska Tsacheva,3180,Which city does Albert serve ?,Albert – Picardie Airport
572,572,57302,Which language can Federico Pipitone read ?,Italian,3366,Which aerodrome is served by London ?,Croydon Airport
573,573,57612,Which language can Josep Maria Miró Coromina understand ?,Spanish,6306,Which aerodrome serves the place named Dhaka ?,Tejgaon Airport
574,574,58193,Which language does Túpac Amaru speak in ?,Spanish,16743,"Which aerodrome serves Rio Grande, Rio Grande do Sul ?",Rio Grande Airport
575,575,32,Which party is Dean Clukey affiliated with ?,Republican Party,48405,Which city does Zaporizhzhya serve ?,Zaporizhzhia International Airport
576,576,298,Which party does César Pérez Vivas belong to ?,COPEI,94,What is the family that Maximilian of Hesse-Kassel belongs to ?,House of Hesse
577,577,380,Which political party is Angela Merkel a member of ?,Christian Democratic Union,2737,"Which family did Robert of Bar, Count of Marle and Soissons belong to ?",House of Scarpone
578,578,28441,Which party does Peter Josef Schaeven belong to ?,Centre Party,20071,What is the royal family that Zhu Shuang is a part of ?,House of Zhu
579,579,28692,Which party is Charles K. Fletcher affiliated with ?,Republican Party,23852,"What dynasty does Richard II, Duke of Normandy belong to ?",House of Normandy
580,580,34372,"Which party does P. C. Sorcar, Jr. belong to ?",Bharatiya Janata Party,32700,What is the state that Princess Changping belongs to ?,Ming dynasty
581,581,45933,Which party does Kenneth M. Regan belong to ?,Democratic Party,42260,What dynasty does Diana Phipps belong to?,House of Sternberg
582,582,47991,Which party does Albert Fredrik Eggen belong to ?,Liberal Party,46244,"What is the noble family that John George II, Prince of Anhalt-Dessau belongs to ?",House of Ascania
583,583,54205,Which party is Abhishek Singhvi affiliated with ?,Indian National Congress,355,Which person was the first person to come up with piano ?,Bartolomeo Cristofori
584,584,274,Which administrative territory shares border with Stoke-on-Trent ?,Eccleshall,5340,Which person discovered or invented piano ?,Bartolomeo Cristofori
585,585,2285,Which administrative territory is adjacent to Shaker Heights ?,Cleveland,8202,What is the physiological condition that Gordon Morgan Holmes discovered ?,Holmes tremor
586,586,5249,Which capital does Hamburg share a border with ?,Winsen,9081,Who was the inventor or discoverer of Linear A ?,Arthur Evans
587,587,7344,Which city is bordered by Brumov-Bylnice ?,Valašské Klobouky,15933,Which tool was invented or discovered by Wolfgang Paul ?,ion trap
588,588,7994,"Who shares the border with São Vicente, São Paulo ?",Cubatão,21909,What is the concept that Heinrich Schliemann invented ?,Mycenaean Greece
589,589,39990,Which Latin phrase is next to the border of Egypt ?,Bir Tawil,49205,What was invented or discoverd by Bartolomeo Cristofori ?,piano
590,590,145,Which nonprofit organization is the alma mater of Joseph Hopkinson ?,University of Pennsylvania,685,Which recurring sporting event finishes the journey at Berlin ?,Velothon Berlin 2015
591,591,159,Which secondary school is Sharon Cissna an alumni of ?,Federal Way High School,4581,Which administrative country subdivision marks the end of journey for 2016 Tour of Norway ?,Sarpsborg
592,592,527,Where was David Frisch educated ?,University of Missouri,6461,Which spacecraft ends at Uranus ?,Voyager 2
593,593,597,What is the school where Johan Henrik Nebelong was educated ?,Royal Danish Academy of Fine Arts,6640,Which single-day race finally halts at Brussels ?,2014 Brussels Cycling Classic
594,594,1375,Which nonprofit organization was Matthew Richey educated at ?,Wesleyan University,7409,Which people finally halts at France ?,Georgians in France
595,595,1681,Who is an alumni of Australia ?,Jennifer Gidley,12346,Which aerodrome does West Air Sweden Flight 294 finally stop at ?,Tromsø Airport
596,596,4083,What is the nonprofit organization where William F. Shija was educated ?,Howard University,16797,Which racing has Paris as its destination point ?,"1903 Tour de France, stage 6"
597,597,8534,Who was educated at India ?,D N Dhanagare,24217,Which architectural structure is the destination point for quai André-Citroën ?,Pont du Garigliano
598,598,9776,Who was a student at Australia ?,Jennifer Gidley,27195,Which city is the end point of Brussels Cycling Classic 2015 ?,Brussels
599,599,11129,Which school was Mary Bassett educated at ?,Columbia University College of Physicians and Surgeons,31202,Where does the journey end for 1960 Grand Prix de Denain ?,Denain
600,600,32320,"Where was Efrem Zimbalist, Jr. educated ?",Yale University,734,Which sport did Georg Tischler participate in ?,discus throw
601,601,40349,What is the secondary school where Felix Edward Hébert was educated ?,Jesuit High School,5301,Who was a contestant in floorball ?,De Studerendes Idræt Odense
602,602,50725,Who studied at Wisconsin ?,"J. Barkley Rosser, Jr.",11362,Who competed in judo ?,Stanislav Bondarenko
603,603,53581,Which public university was James B. Comey educated at ?,College of William & Mary,16174,Which type of sport was Luke Kipkosgei a contestant of ?,Marathon
604,604,44,Who has the surname Frans Blom ?,Blom,16324,Which geographical object participated in floorball ?,De Studerendes Idræt Odense
605,605,51,Which name is associated with Krzysztof Michalski ?,Michalski,515,Which division is the parent company of Columbia Records ?,Sony Music
606,606,12168,Who is associated with Božidar Jovanović?,Jovanović,7275,Which business enterprise serves as a subsidiary of Radio France ?,France Info
607,607,44376,Who has Pedro as surname ?,Luís Pedro,9322,Which division contains Fueled By Ramen as its subordinate ?,Warner Music Group
608,608,153,Which sports club is association football player a component of ?,association football club,9399,Which military unit is an auxiliary of United States Navy ?,United States Navy Nurse Corps
609,609,250,What is a component of Empire ?,"Empire, season 2",9643,Which nonprofit organization is Harvard Business School the subsidiary of ?,Harvard University
610,610,384,What is vacuole a part of ?,endomembrane system,15920,Which organization has Vancouver as its subsidiary ?,Infobip
611,611,3142,Which occupation is a portion of Social Democratic Party of Austria ?,chairman of the Social Democratic Party,25101,Which building is a subordinate of Columbia University ?,Columbia University Medical Center
612,612,3978,What is a part of endoplasmic reticulum ?,ER ubiquitin ligase complex,46471,Which transport company is Lima Airport Partners the subordinate of ?,Fraport
613,613,26309,What is Football at the 2016 Summer Olympics – Men's tournament‎ a portion of ?,football at the 2016 Summer Olympics,8779,What is the mother tongue of Abraham Lincoln ?,English
614,614,84,Which award was received by Johnson Beharry ?,Victoria Cross,165,Which zoological nomenclature is the taxonomic type of Homo sapiens ?,Carl Linnaeus
615,615,182,Which award was Martin Boyken awarded with ?,Officer's Cross of the Order of Merit of the Federal Republic of Germany,2400,Which language is Walker in ?,English
616,616,224,What was won by Xerardo Fernández Albor ?,Order of Isabella the Catholic,3354,What is the language of Collins ?,English
617,617,737,What was awarded to La Bassée ?,Croix de guerre 1914–1918,12690,Which periodical literature is created in language Spain ?,Unidad
618,618,5580,Which business organization was honoured with Nobel Prize ?,IBM,22808,Which treaty was done in Akkadian language ?,Egyptian–Hittite peace treaty
619,619,11973,What was received by Kyiv ?,Order of Friendship of Peoples,57669,Which language is Otto's encyclopedia composed in ?,Czech
620,620,15882,Which award was Kyiv awarded with ?,Order of Friendship of Peoples,407,Which educational institution has Albert Einstein as their teacher ?,Luitpold-Gymnasium
621,621,16997,Which person was awarded with German Academy of Sciences Leopoldina ?,Geoffrey Lilley Smith,2447,Who was a notable student of Adolf Furtwängler ?,Heinrich Brunn
622,622,29667,Which person won University of Vienna ?,Dimitrios Pallas,7117,Who was Petrarch a pupil of ?,Giovanni Malpaghini
623,623,30809,Which award was Michael C. Murphy awarded with ?,Medal of Honor,7524,Who taught Janus Parrhasius ?,Andrea Alciato
624,624,46293,Which person received the award titled German Academy of Sciences Leopoldina ?,Geoffrey Lilley Smith,18770,Which person was a pupil of Rorion Gracie ?,Hélio Gracie
