answer,answer_sentence,question,question_entity_label,question_id,question_relation
Georgians in France,georgians ends at  france.,Which people ends at France ?,France,7061,P1444
Il1f5,il1f5 encodes interleukin-36 receptor antagonist protein.,What encodes Interleukin-36 receptor antagonist protein ?,"Interleukin 1 family, member 5 (delta)",7073,P702
Giovanni Malpaghini,giovanni malpaghini  is a student of petrarch,Which person is a student of Petrarch ?,Petrarch,7116,P1066
Giovanni Malpaghini,petrarch was a pupil of giovanni malpaghini.,Who was Petrarch a pupil of ?,Petrarch,7117,P802
formamidopyrimidine-DNA glycosylase AHA_0164,it's encoded by formamidopyrimidine-dna glycosylase aha_0164.,What encodes formamidopyrimidine-DNA glycosylase    AHA_0164 ?,Formamidopyrimidine-DNA glycosylase AHA_0164,7159,P702
metabolism,formamidopyrimidine-dna glycosylase aha_0164 is involved in metabolism,Which process is formamidopyrimidine-DNA glycosylase    AHA_0164 involved in ?,Formamidopyrimidine-DNA glycosylase AHA_0164,7161,P682
house mouse,e3 ubiquitin-protein ligase zswim2 found a house mouse,Where is E3 ubiquitin-protein ligase Zswim2 found ?,Zinc finger SWIM-type containing 2,7176,P703
Chanteur florentin du XVe siècle,chanteur florentin du xve siècle was commissioned by france,Which media was commissioned by France ?,France,7181,P88
Fritz Schumacher,fritz schumacher is  the architect of hamburg museum,Who is the architect of Hamburg Museum ?,Hamburg Museum,7218,P84
PPG Paints Arena,ppg paints arena was inhabited by the pittsburgh penguins.,What was inhabited by Pittsburgh Penguins ?,Pittsburgh Penguins,7232,P466
Streptococcus suis BM407,the 3-isopropylmalate dehydratase small subunit ssubm407_1808 belongs to taxon streptococcus suis bm407,Which taxon does 3-isopropylmalate dehydratase small subunit    SSUBM407_1808 belong to ?,3-isopropylmalate dehydratase small subunit SSUBM407_1808,7264,P703
France Info,france info serves as a subsidiary of radio france.,Which business enterprise serves as a subsidiary of Radio France ?,Radio France,7275,P355
Coxiella burnetii RSA 493,coxiella burnetii rsa 493 taxon does dihydrofolate reductase cbu_1993 belong,Which taxon does dihydrofolate reductase    CBU_1993 belong to ?,Dihydrofolate reductase CBU_1993,7277,P703
dihydrofolate reductase CBU_1993,dihydrofolate reductase cbu_1993 encodes dihydrofolate reductase cbu_1993,Which gene encodes dihydrofolate reductase    CBU_1993 ?,Dihydrofolate reductase CBU_1993,7278,P702
Homo sapiens,opioid-binding protein/cell adhesion molecule found at homo sapiens.,Where is Opioid-binding protein/cell adhesion molecule found ?,Opioid binding protein/cell adhesion molecule like,7284,P703
coronary artery disease,coronary artery disease results in myocardial infarction.,Which health problem results in myocardial infarction ?,myocardial infarction,7287,P1542
Mercure national,amé-thérèse-joseph masclet is the author of mercure national which is a periodical literature.,Which periodical literature has Amé-Thérèse-Joseph Masclet as its author ?,Amé-Thérèse-Joseph Masclet,7295,P50
Robert Fuchs,robert fuchs was the teacher of robert stolz.,Who was the teacher of Robert Stolz ?,Robert Stolz,7302,P1066
Harald V of Norway,harald v of norway has the highest formal authority in norway,Which person has the highest formal authority in Norway ?,Norway,7308,P35
Sweden,sweden administrative territory has prime minister of sweden as title of head of government.,Which administrative territory has Prime Minister of Sweden as title of head of government ?,Prime Minister of Sweden,7312,P1313
Kinsey Millhone,"kinsey millhone is the fictional character who appears as a character in ""s"" is for silence.","Which fictional character appears as a character in ""S"" Is for Silence ?","""S"" Is for Silence",7321,P674
Le Populaire,le populaire was a publication issued by the french section of the worker's international.,Which publication was issued by French Section of the Workers' International ?,French Section of the Workers' International,7329,P123
Kiyotaka Haimura,a certain magical index was illustrated by kiyotaka haimura.,What is the name of person who illustrated A Certain Magical Index ?,A Certain Magical Index,7331,P110
Valašské Klobouky,valasske klobouky is bordered by brumov-bylnice.,Which city is bordered by Brumov-Bylnice ?,Brumov-Bylnice,7344,P47
British Antarctic Survey,british antarctic survey is the name of the social group.,Which social group operates Sky Blu ?,Sky Blu,7371,P137
Dance Dance Revolution SuperNova,dance dance revolution supernova has japan as its distributor.,Who has Japan as its distributor ?,Japan,7378,P750
Entertainment One Films,it is owned by entertainment one films.,Which organization is owned by Entertainment One ?,Entertainment One,7382,P749
entertainer,the industry to which entertainment one belongs the entertainer.,Which occupation is the industry to which Entertainment One belongs ?,Entertainment One,7383,P452
British Army,military branch was sid daniels a part of british army,Which military branch was Sid Daniels a part of ?,Sid Daniels,7400,P241
Georgians in France,gerorgians finally halt at france.,Which people finally halts at France ?,France,7409,P1444
Evelyn: The Cutest Evil Dead Girl,brad peyton a screenwriter of evelyn: the cutest evil dead girl.,What is Brad Peyton a screwriter of ?,Brad Peyton,7419,P58
Nintendo,pokémon gold and silver are distributed by nintendo.,Who distributes Pokémon Gold and Silver ?,Pokémon Gold and Silver,7465,P750
doctorate,a doctorate leads to doctoral degree.,What leads to doctoral degree ?,doctorate,7469,P828
Apple Bloom,the apple bloom fictional humanoid is related to granny smith.,Which fictional humanoid is related to Granny Smith ?,Granny Smith,7492,P1038
discus throw,a sport did fausto acke participate in discus throw,Which sport did Fausto Acke participate in ?,Fausto Acke,7511,P2416
Guthy-Renker,guthy-renker owns tv shop.,Who owns TV Shop ?,TV Shop,7520,P127
The Simpsons,the simpsons is where marge simpson is part of.,What is the television genre that has Marge Simpson as a character ?,Marge Simpson,7522,P674
Andrea Alciato,andrea alciato taught janus.,Who taught Janus Parrhasius ?,Janus Parrhasius,7524,P802
Roman Republic,marcus valerius messalla occured in roman republic.,When did Marcus Valerius Messalla occur ?,Marcus Valerius Messalla,7528,P2348
Marcus Valerius Messalla,marcus valerius mesalla is a child of marcus valerius mesalla.,Whose child is Marcus Valerius Messalla ?,Marcus Valerius Messalla,7529,P40
NASDAQ,nasdaq has tradings of comcast,Which legal term has tradings of Comcast ?,Comcast,7536,P414
MRE11,mre11 encodes double-strand break repair protein mre11a,Which gene encodes Double-strand break repair protein MRE11A ?,"MRE11 homolog, double strand break repair nuclease",7555,P702
"MRE11 homolog, double strand break repair nuclease","mre11 homolog, double strand break repair nuclease is the nutrient",Which nutrient is MRE11A an encoding of ?,MRE11,7557,P688
August Hug,august hug expired at fischingen.,Which person expired at Fischingen ?,Fischingen,7583,P20
Hebrew,omer bartov can understand hebrew language,Which language family can Omer Bartov understand ?,Omer Bartov,7587,P1412
London,"london administrative territory is the location of publication of reconnoitering voyages and travels, with adventures in the new colonies of south australia","Which administrative territory is the location of publication of Reconnoitering Voyages and Travels, with Adventures in the new colonies of South Australia ?","Reconnoitering Voyages and Travels, with Adventures in the new colonies of South Australia",7588,P291
Architectural Review,periodical literature does london contain architectural review.,Which periodical literature does London contain ?,London,7590,P1433
Stephen Cooper,stephen cooper is the ceo of warner music group.,Which person is the CEO of Warner Music Group ?,Warner Music Group,7594,P169
The Forty Days of Musa Dagh,the forty days of musa dagh originated in berlin.,Which collectable originated in Berlin ?,Berlin,7598,P495
Shewanella oneidensis MR-1,tonb mediated energy transduction system energy transducer component tonb so_4564 found in shewanella oneidensis mr-1.,Which taxon is TonB mediated energy transduction system energy transducer component TonB    SO_4564 found in ?,TonB mediated energy transduction system energy transducer component TonB SO_4564,7607,P703
cough,cough requires codeine as a remedy.,Which medical sign requires codeine as a remedy ?,codeine,7608,P2176
response to stimulus,the olfactory receptor 6k6 is involved in the respones to stimulus process.,Which process is Olfactory receptor 6K6 involved in ?,Olfactory receptor family 6 subfamily K member 6,7611,P682
OR6K6,or6k6 is the gene one encodes olfactory receptor 6k6,Which gene encodes Olfactory receptor 6K6 ?,Olfactory receptor family 6 subfamily K member 6,7613,P702
Mary Wickes,mary wickes suffers from kidney failure.,Which person suffers from kidney failure ?,renal insufficiency,7628,P1050
France national football team,france national football team was the champion of uefa euro 2000,Which national sports team was the champion of UEFA Euro 2000 ?,UEFA Euro 2000,7636,P1346
Return from the Fields,return from the fields is the name of the print.,Which print expresses farmer ?,farmer,7652,P180
"2013 Giro d'Italia, Stage 6","the 2013 grio d'italia, stage 6 is race that has mola di bari as the start location.",Which racing has Mola di Bari as the start location ?,Mola di Bari,7662,P1427
Neena Kulkarni,neena kulkarni was produced shevri.,Which person produced Shevri ?,Shevri,7674,P162
Clostridium botulinum A str. Hall,methylcobalamin:coenzyme m methyltransferase clc_1525 is found in clostridium botulinum a str. hall.,Where is methylcobalamin:coenzyme M methyltransferase    CLC_1525 found ?,Methylcobamide:CoM methyltransferase CBO1489,7678,P703
methylation,the name of the process is methylation.,Which biological process is methylcobalamin:coenzyme M methyltransferase    CLC_1525 involved in ?,Methylcobamide:CoM methyltransferase CBO1489,7679,P682
food processing,food processing is the name of the industry.,What industry is Kraft Heinz Company a part of ?,Kraft Heinz,7684,P452
Bruce Gilbert,bruce gilbert produced rollover.,Which person produced Rollover ?,Rollover,7701,P162
Judith Jauregi,judith jauregi is a pianist,Which person has career as piano ?,piano,7705,P106
Game Freak,game freak developed pokémon yellow.,Which profession developed Pokémon Yellow ?,Pokémon Yellow,7716,P178
Nintendo,nintendo is the name of the software which published pokemon yellow.,What is the name of software which published Pokémon Yellow ?,Pokémon Yellow,7717,P123
Free Software Foundation,free software foundation is the sponsor for gnu project.,Who is the sponsor for GNU Project ?,GNU Project,7735,P859
Streptococcus mutans UA159,1-acylglycerol-3-phosphate o-acyltransferase smu_624 was founded from streptococcus mutans ua159.,Where is 1-acylglycerol-3-phosphate O-acyltransferase    SMU_624 found ?,1-acylglycerol-3-phosphate O-acyltransferase SMU_624,7736,P703
1-acylglycerol-3-phosphate O-acyltransferase SMU_624,1-acylglycerol-3-phosphate o-acyltransferase smu_624 encodes 1-acylglycerol-3-phosphate o-acyltransferase smu_624.,Which gene encodes 1-acylglycerol-3-phosphate O-acyltransferase    SMU_624 ?,1-acylglycerol-3-phosphate O-acyltransferase SMU_624,7737,P702
High Voltage Software,high voltage hot rod show was professionally developed by high voltage software,Which profession developed High Voltage Hot Rod Show ?,High Voltage Hot Rod Show,7739,P178
Hpakant-Tawmaw jade tract,hpakant-tawmaw jade tract is famous for fabriesite.,Which architectural structure is famous for having fabrièsite ?,fabrièsite,7749,P2695
Macedonian Orthodox Church – Ohrid Archbishopric,macedonian orthodox church – ohrid archbishopric is known to have old church slavonic as its official language .,Which religious denomination is known to have Old Church Slavonic as its official language ?,Old Church Slavonic,7769,P37
Ottův slovník naučný,ottuv slovnik naucny is the literary genre which frantisek rehor is a contributor of.,Which literary genre is František Řehoř a contributor of ?,František Řehoř,7773,P767
Commonwealth of Nations,elizabeth ii is thechairperson of commonwealth of nations,Which international organization is Elizabeth II a chairperson of ?,Elizabeth II,7801,P488
liberalism,liberalism is the political ideology of national liberal party,Which special field is the political ideology of National Liberal Party ?,National Liberal Party,7818,P1142
British Army,military branch was mark griffin a part of british army,Which military branch was Mark Griffin a part of ?,Mark Griffin,7828,P241
university teacher,hans hebra is a university teacher.,What are the professions of Hans Hebra ?,Hans Hebra,7860,P106
Ahijah the Shilonite,ahijah the shilonite is a pupil of david.,Who is a pupil of David ?,David,7905,P1066
musicology,enric roig is in the special field of musicology.,Which special field is the area of Enric Roig ?,Enric Roig,7913,P101
CR Vasco da Gama,cr vasco da gama is the geographical object?,Which geographical object plays in Campeonato Brasileiro Série A ?,Campeonato Brasileiro Série A,7943,P118
Clostridium acetobutylicum ATCC 824,histidine kinase ca_c3319 belongs to clostridium acetobutylicum atcc 824,Which taxon does signal transduction histidine kinase    CA_C3319 belong to ?,Signal transduction histidine kinase CA_C3319,7950,P703
Cyprus Football Association,cyprus football association the organizer of 1990–91 cypriot fourth division (limassol-paphos group),Who is the organizer of 1990–91 Cypriot Fourth Division (Limassol-Paphos Group) ?,1990–91 Cypriot Fourth Division (Limassol-Paphos Group),7956,P664
2-1-0 points system,a 2-1-0 points system was used as the rules of league points for 1990–91 cypriot fourth division (limassol-paphos group).,Which structure was used as the rules of league points for 1990–91 Cypriot Fourth Division (Limassol-Paphos Group) ?,1990–91 Cypriot Fourth Division (Limassol-Paphos Group),7957,P3195
Michael Manske,michael manske affiliated to university of wisconsin-milwaukee.,Which person is affiliated to University of Wisconsin–Milwaukee ?,University of Wisconsin–Milwaukee,7985,P1416
Cubatão,"cubatão shares the border with são vicente, são paulo","Who shares the border with São Vicente, São Paulo ?",São Vicente,7994,P47
Jean-Pierre Mocky,jean-pierre mocky editted bonsoir.,What is the name of person who editted Bonsoir ?,Bonsoir,7996,P1040
doctorate,doctorate result in doctoral degree.,Which education results in doctoral degree ?,doctorate,8008,P1542
Nup133,nup133 is the gene which encodes nuclear pore complex protein nup133,Which gene encodes Nuclear pore complex protein Nup133 ?,Nucleoporin 133,8012,P702
Nederlandse Spoorwegen,nederlandse spoorwegen has the netherlands as a parent organization,Which transport company has Netherlands as parent organization ?,Netherlands,8016,P749
Hebrew,hebrew language family can aida touma-suleiman understand.,Which language family can Aida Touma-Suleiman understand ?,Aida Touma-Sliman,8020,P1412
Populous,populous is designed the architecture of citi field,Who designed the architecture of Citi Field ?,Citi Field,8034,P84
Bethesda,the expiration of chauncey w. reed occured at bethesda.,Where did the expiration of Chauncey W. Reed occur ?,Chauncey William Reed,8037,P20
Akelei Lima'alofa,that person is akelei lima'alofa.,Which person has residence at Tuvalu ?,Tuvalu,8043,P551
ThuleTuvalu,thuletuvalu is the art originated in tuvalu.,Which work of art originated in Tuvalu ?,Tuvalu,8045,P495
Italian alphabet,italian alphabet is the name of the set.,Which alphabet is used as the alphabet set for Italian ?,Italian,8052,P282
Forrestal-class aircraft carrier,the kitty hawk-class aircraft carriers are based on the forrestal-class aircraft carrier.,Which ship type is Kitty Hawk-class aircraft carrier based on ?,Kitty Hawk-class aircraft carrier,8055,P144
Homosaurus,homosaurus is the conceptual model of association.,Which conceptual model has a correspondence with the language English ?,English,8066,P2439
"St Bartholomew's Church, Sealand","st bartholomew's church, sealand is the name of the temple.",Which temple is devoted to Bartholomew the Apostle ?,Bartholomew the Apostle,8093,P825
Mel,mel is a name identical to mel.,Which name is identical to Mel ?,Mel,8112,P1533
Crux,in the flag of niue crux is demonstrated.,What is demonstrated in Flag of Niue ?,flag of Niue,8133,P180
Niue,niue administrative territory has flag named flag,Which administrative territory has flag named Flag of Niue ?,flag of Niue,8134,P163
biopolymer transport ExbD protein glr2403,the gene encoding for  biopolymer transport exbd protein glr2403 is biopolymer transport exbd protein glr2403.,Which gene encodes biopolymer transport ExbD protein    glr2403 ?,Biopolymer transport ExbD protein glr2403,8137,P702
Holmes tremor,gordon morgan holmes discovered the holmes tremor a physiological condition.,What is the physiological condition that Gordon Morgan Holmes discovered ?,Gordon Morgan Holmes,8202,P61
Dublin,dublin city is the hq of national irish bank.,Which city is the HQ of National Irish Bank ?,National Irish Bank,8203,P159
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase RSP_2243,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase rsp_2243 encodes 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase rsp_2243.,Which gene encodes 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase    RSP_2243 ?,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase RSP_2243,8207,P702
1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase RSP_2243,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase rsp_2243 is encoded by 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase rsp_2243.,What is encoded by 1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase    RSP_2243 ?,1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino) imidazole-4-carboxamide isomerase RSP_2243,8208,P688
Xanthomonas campestris pv. campestris str. ATCC 33913,transcriptional regulator xcc3667 belongs to the taxon xanthomonas campestris pv. campestris str. atcc 33913.,Which taxon does transcriptional regulator    XCC3667 belong to ?,Transcriptional regulator XCC3667,8223,P703
TMEM38A,tmem38a encodes trimeric intracellular cation channel type a.,Which gene encodes Trimeric intracellular cation channel type A ?,Transmembrane protein 38A,8247,P702
Shewanella oneidensis MR-1,we can found the transcriptional repressor of aromatic amino acid biosynthesis trpr so_3419 in shewanella oneidensis mr-1,Where is transcriptional repressor of aromatic amino acid biosynthesis TrpR    SO_3419 found ?,Transcriptional repressor of aromatic amino acid biosynthesis TrpR SO_3419,8261,P703
hypothetical protein Caur_1843,hypothetical protein caur_1843 is the gene that encodes hypothetical protein caur_1843.,Which gene encodes hypothetical protein    Caur_1843 ?,Hypothetical protein Caur_1843,8267,P702
Haemophilus influenzae Rd KW20,aspartate--trna ligase hi0317 found haemophilus influenzae rd kw20,Where is aspartate--tRNA ligase    HI0317 found ?,aspartate--tRNA ligase HI0317,8273,P703
Anorthosis Famagusta Volley (men),anorthosis famagusta volley (men) was the winner of 1993-1994 cyprus volleyball division 1.,Which sports club was the winner of 1993-1994 Cyprus Volleyball Division 1 ?,1993-1994 Cyprus Volleyball Division 1,8274,P1346
Helvis of Brunswick-Grubenhagen,helvis of brunswick-grubenhagen is buried at nicosia.,Which person has Nicosia as place of burial ?,Nicosia,8276,P119
Pedieos,pedieos  watercourse is located in the neighbourhood of nicosia,Which watercourse is located in the neighbourhood of Nicosia ?,Nicosia,8278,P206
Pirates of the Caribbean,pirates of the caribbean  the name of work who belongs to hector barbossa,What is the name of work who belongs to Hector Barbossa ?,Hector Barbossa,8285,P1080
Paesaggio Con Totem,paesaggio con totem uses collage material for it's making,Which artistic technique uses collage as material for its making ?,collage art,8296,P186
Zephaniah Swift Moore,zephaniah swift moore founded amherst college.,Which person founded Amherst College ?,Amherst College,8302,P112
oligoendopeptidase F DR_2055,oligoendopeptidase f dr_2055 is the gene encodes oligoendopeptidase f dr_2055,Which gene encodes oligoendopeptidase F    DR_2055 ?,Oligoendopeptidase F DR_2055,8303,P702
francium,francium has france as its findspot.,Which chemical substance has France as its findspot ?,France,8317,P189
Roman Putin,the kin of vladimir putin is roman putin.,Who are kins of Vladimir Putin ?,Vladimir Putin,8329,P1038
Dwight Lyman Moody,dwight lyman moody is the person influenced daniel webster whittle,Which person influenced Daniel Webster Whittle ?,Daniel Webster Whittle,8356,P737
Sammlung Prinzhorn,sammlung prinzhorn can be described as service operator of university of heidelberg.,Which collection can be described as service operator of University of Heidelberg ?,Heidelberg University,8360,P137
World War I,world war i was the war that michail šumilov took part,What was the war that Michail Šumilov took part in,Mikhail Stepanovich Shumilov,8361,P607
Capcom,capcom distributes resident evil: revelations 2,Who distributes Resident Evil: Revelations 2 ?,Resident Evil: Revelations 2,8404,P750
Canadian Centre for Architecture,the canadian centre for architecture employs phyllis lambert.,Which museum employs Phyllis Lambert ?,Phyllis Lambert,8407,P108
Loglan,the event loglan is based on england.,Which event is based on English ?,English,8415,P144
Nouakchott Old Airport,nouakchott old airport  is located in nouakchott.,Which aerodrome is located in Nouakchott ?,Nouakchott,8422,P17
alanyl-tRNA synthetase DVU1089,alanyl-trna synthetase dvu1089 encodes alanyl-trna synthetase dvu1089.,Which gene encodes alanyl-tRNA synthetase    DVU1089 ?,Alanyl-tRNA synthetase DVU1089,8434,P702
three points for a win,three points for a win served as the league points system for 2014–15 cypriot third division,Which structure served as the league points system for 2014–15 Cypriot Third Division ?,2014–15 Cypriot Third Division,8456,P3195
Cyprus Football Association,cyprus football association had organized 2014–15 cypriot third division.,Who organized 2014–15 Cypriot Third Division ?,2014–15 Cypriot Third Division,8457,P664
Homo sapiens,cullin-4a was found in homo sapiens,Where is Cullin-4A found ?,Cullin 4A,8459,P703
National Zoological Park,the national zoological park was the institution that conserved the species named brown rat.,Which institution has conserved the species named brown rat ?,common rat,8460,P1990
Great Lakes,objects is situated nearby canada great lakes.,Which group of objects is situated nearby Canada ?,Canada,8471,P206
Chlamydia trachomatis D/UW-3/CX,chlamydia trachomatis d/uw-3/cx is found in oligopeptide abc transporter permease ct_199.,Which taxon is oligopeptide ABC transporter permease    CT_199 found in ?,Oligopeptide ABC transporter permease CT_199,8474,P703
emergency medicine,emergency medicine is the medical specality concerned with drowning,Which special field is the medical specality concerned with drowning ?,drowning,8487,P1995
Microscopy and Microanalysis,microscopy and microanalysis contains changes in f-actin organization induced by hard metal particle exposure in rat pulmonary epithelial cells as observed by laser scanning confocal microscopy,Which magazine genre contains Changes in F-actin organization induced by hard metal particle exposure in rat pulmonary epithelial cells as observed by laser scanning confocal microscopy ?,Changes in F-actin organization induced by hard metal particle exposure in rat pulmonary epithelial cells as observed by laser scanning confocal microscopy,8524,P1433
Gloeobacter violaceus PCC 7421,gloeobacter violaceus pcc 7421 is the name of the taxon.,Which taxon is peptide chain release factor 3    glr3159 found in ?,Peptide chain release factor 3 glr3159,8525,P703
D N Dhanagare,d n dhanagare was educated in india.,Who was educated at India ?,India,8534,P69
Ccdc85c,ccdc85c encodes coiled-coil domain-containing protein 85c.,Which gene encodes Coiled-coil domain-containing protein 85C ?,Coiled-coil domain containing 85C,8537,P702
Rhodobacter sphaeroides 2.4.1,rhodobacter sphaeroides 2.4.1 is where it imidazole glycerol phosphate synthase subunit hisf rsp_2242 is found.,Where is imidazole glycerol phosphate synthase subunit HisF    RSP_2242 found ?,Imidazole glycerol phosphate synthase subunit HisF RSP_2242,8547,P703
Chlamydia trachomatis D/UW-3/CX,50s ribosomal protein l14 ct_518 found in chlamydia trachomatis d/uw-3/cx.,Where is 50S ribosomal protein L14    CT_518 found ?,50S ribosomal protein L14 CT_518,8557,P703
chlamydia infection,chlamydia trachomatis d/uw-3/cx lead to chlamydia infection,What does Chlamydia trachomatis D/UW-3/CX lead to ?,Chlamydia trachomatis D/UW-3/CX,8558,P828
Hellenistic period,the hellenistic period is where nicander occured.,When did Nicander occur ?,Nicander,8579,P2348
schizophrenia,chlorpromazine is a medication for schizophrenia.,Which disease is chlorpromazine a medication for ?,chlorpromazine,8648,P2175
Los Angeles,don't answer the phone was filmed at los angeles.,Which administrative territory was Don't Answer the Phone filmed at ?,Don't Answer the Phone,8663,P915
"The Park, Chennai","the park, chennai dwelling was los angeles the designer.",Which dwelling was Los Angeles the designer of ?,Los Angeles,8664,P84
Heller Foundation,heller foundation made a donation for paesaggio con totem.,Who made a donation for Paesaggio Con Totem ?,Paesaggio Con Totem,8684,P1028
"St Bartholomew's Church, Sealand","a dedicated to bartholomew the apostle st bartholomew's church, sealand",What is dedicated to Bartholomew the Apostle ?,Bartholomew the Apostle,8706,P825
neo acoustic,shibuya-kei have an influence on neo acoustic.,Who did Shibuya-kei have an influence on ?,Shibuya-kei,8714,P737
A41 road,a41 road is the london terminus located at.,Which thoroughfare is London a terminus location of ?,London,8721,P609
Edwin Binney,edwin binney is the name of the individual.,Who donates Raja Surendra Vikram Shah at the age of 15 with his prime minister ?,Raja Surendra Vikram Shah at the age of 15 with his prime minister,8724,P1028
Jesus,roman catholic church founded by jesus.,Who founded Roman Catholic Church ?,Catholic Church,8730,P112
Fritz Sureth,fritz sureth person was burried at kiel,Which person was burried at Kiel ?,Kiel,8761,P119
Moselle,moselle watercourse does kyll drain,Which watercourse does Kyll drain into ?,Kyll,8765,P403
Media Factory,media factory published no game no life-mart,Which division published No Game No Life-mart ?,No Game No Life,8773,P123
English,english is the mother tongue of abraham lincoln,What is the mother tongue of Abraham Lincoln ?,Abraham Lincoln,8779,P103
Bacillus thuringiensis serovar konkukian str. 97-27,"immune inhibitor a, metalloprotease bt9727_0582 belongs to bacillus thuringiensis serovar konkukian str. 97-27.","Which taxon does immune inhibitor A, metalloprotease    BT9727_0582 belong to ?","Immune inhibitor A, metalloprotease BT9727_0582",8785,P703
sensor histidine kinase SSUBM407_1000,sensor histidine kinase ssubm407_1000 encodes sensor histidine kinase ssubm407_1000.,What encodes sensor histidine kinase    SSUBM407_1000 ?,Sensor histidine kinase SSUBM407_1000,8787,P702
Germany,germany national football team represents germany,Which political territory does Germany national football team represent ?,Germany national football team,8813,P1532
Pixies,pixies was staged by surfer rosa.,What was staged by Surfer Rosa ?,Surfer Rosa,8817,P175
Stolin District,a country subdivision is stolin the capital of stolin district,Which administrative country subdivision is Stolin the capital of ?,Stolin,8833,P36
Sega,sega is the name of profession which published cipher complex,What is the name of profession which published Cipher Complex ?,Cipher Complex,8839,P123
Narcissu,narcissu was released by english.,What was released by English ?,English,8872,P123
Paolo Biagetti,paolo biagetti created the production designs of paprika.,Which person created the production designs of Paprika ?,Paprika,8882,P2554
Tinto Brass,tinto brass is  the name of person who edited paprika,What is the name of person who editted Paprika ?,Paprika,8883,P1040
Raccoon,raccoon is being featured in the nut job,Which abstract being is featured in The Nut Job ?,The Nut Job,8898,P1441
metabolism,sphingomyelin phosphodiesterase involved in the process of metabolism.,Which process is Sphingomyelin phosphodiesterase involved in ?,Sphingomyelin phosphodiesterase 1,8913,P682
Rudolf Hellmann,rudolf hellmann is a member of the socialist unity party of germany.,Which person is a member of Socialist Unity Party of Germany ?,Socialist Unity Party of Germany,8917,P463
Lake Placid Equestrian Stadium,the 1980 winter olympics was held at the lake placid equestrian stadium.,Which sports venue is the location of 1980 Winter Olympics ?,1980 Winter Olympics,8920,P276
Thomas Bracken,thomas bracken is the lyricist of god defend new zealand.,Who is the lyricist of God Defend New Zealand ?,God Defend New Zealand,8932,P676
San Pablo Airport,seville serves at san pablo airport.,Which city does Seville serve ?,Seville,8939,P931
Geobacter sulfurreducens PCA,"bifunctional homocysteine s-methyltransferase/5,10-methylenetetrahydrofolate reductase gsu2974 is  found in geobacter sulfurreducens pca.","Where is bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase    GSU2974 found ?","Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase GSU2974",8948,P703
Darai-Pioz glacier,darai-pioz glacier is a body of water known for containing mendeleevite-(ce) naturally.,Which body of water is known for containing mendeleevite-(Ce) naturally ?,mendeleevite-(Ce),8966,P2695
University of Chicago,university of chicago employs harold.,Which nonprofit organization employs Harold Urey ?,Harold Urey,8967,P108
Escherichia coli O83:H1 str. NRG 857C,dna topoisomerase i nrg857_06535 is found in escherichia coli o83:h1 str. nrg 857c.,Where is DNA topoisomerase I    NRG857_06535 found ?,DNA topoisomerase I NRG857_06535,9019,P703
Istanbul,2016 presidential tour of turkey originate from istanbul.,Where does 2016 Presidential Tour of Turkey originate from ?,2016 Presidential Tour of Turkey,9020,P1427
computer keyboard,computer keyboard used to input mechanized assault & exploration 2.,What was used to input Mechanized Assault & Exploration 2 ?,Mechanized Assault & Exploration 2,9038,P479
Interplay Entertainment,interplay entertainment produced mechanized assault & exploration 2,Who produced Mechanized Assault & Exploration 2 ?,Mechanized Assault & Exploration 2,9041,P178
2015 Tour de Pologne,2015 tour de pologne is the name of the event.,Which recurring sporting event has Kraków as its destination point ?,Kraków,9054,P1444
Heinrich Johann Freyse,the architect of st. benedict was heinrich johann freyse.,Who architected St. Benedict ?,St. Benedict,9060,P84
Fußball-Regionalliga Nord,vfb lübeck competed in  fußball-regionalliga nord.,Which sports league does VfB Lübeck contest in ?,VfB Lübeck,9076,P118
Arthur Evans,arthur evans was the inventor to discover linear a.,Who was the inventor or discoverer of Linear A ?,Linear A,9081,P61
Daegu Stadium,the 2002 fifa world cup is held in daegu stadium.,Which sports venue is inhabited by 2002 FIFA World Cup ?,2002 FIFA World Cup,9088,P466
FIFA,fifa was responsible for the organization of 2002 fifa world cup.,Who was responsible for the organization of 2002 FIFA World Cup ?,2002 FIFA World Cup,9102,P664
Battle of Kiev (1941),at kyiv the battle of kiev is located.,What is located at Kyiv ?,Kiev,9120,P276
